state	percent	number
Alabama	50	790000
Alaska	50	114000
Arizona	56	1280000
Arkansas	54	530000
California	57	7514000
Colorado	46	909000
Connecticut	44	600000
Delaware	46	152000
District of Columbia	44	100000
Florida	60	3952000
Georgia	53	1704000
Hawaii	50	216000
Idaho	54	290000
Illinois	47	2274000
Indiana	46	1076000
Iowa	42	511000
Kansas	42	423000
Kentucky	51	795000
Louisiana	55	802000
Maine	46	235000
Maryland	48	995000
Massachusetts	49	1250000
Michigan	48	1692000
Minnesota	39	873000
Mississippi	53	460000
Missouri	44	972000
Montana	51	160000
Nebraska	45	329000
Nevada	57	557000
New Hampshire	43	230000
New Jersey	53	1728000
New Mexico	62	336000
New York	52	3507000
North Carolina	53	1716000
North Dakota	41	112000
Ohio	45	1873000
Oklahoma	50	606000
Oregon	47	631000
Pennsylvania	44	2182000
Rhode Island	47	185000
South Carolina	51	797000
South Dakota	44	137000
Tennessee	47	1050000
Texas	57	5482000
Utah	50	504000
Vermont	45	104000
Virginia	44	1247000
Washington	45	1145000
West Virginia	48	270000
Wisconsin	41	928000
Wyoming	48	96000
